genome,completeness,contamination,length,N50
TP20200814-DZC110_DT2009055438-1_bin.95.fa,91.53,0.65,37042,8993
TP20200814-DZC121_DT2009055449-1_bin.339.fa,97.18,0,108644,43098
TP20200814-DZC132_DT2009055460-1_bin.4.fa,76.01,0.89,9261,3684
TP20200815-DZC19_DT2009055489-1_bin.214.fa,91.02,1.61,31475,10931
TP20200815-DZC24_DT2009055494-1_bin.261.fa,78.32,0.81,26658,5824
